epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,70.8648,0.95395,1.57952,1.28494,0.57478,0.55679,0.56047,0.36893,1.1569,1.43825,1.47136,0.000474043,0.000474043,0.000474043
2,139.58,1.09452,1.478,1.39087,0.53572,0.47689,0.48618,0.28501,1.36121,2.0119,1.68157,0.000931559,0.000931559,0.000931559
3,207.261,1.15774,1.54572,1.44029,0.6337,0.51425,0.55767,0.35032,1.23321,1.65817,1.53028,0.00137021,0.00137021,0.00137021
4,275.036,1.1058,1.4486,1.40356,0.62467,0.5706,0.59489,0.38355,1.19883,1.4277,1.47021,0.00134412,0.00134412,0.00134412
5,342.626,1.06558,1.34745,1.37827,0.74607,0.61301,0.70641,0.49717,1.07433,1.16865,1.34402,0.00131582,0.00131582,0.00131582
6,410.231,0.99732,1.25535,1.32925,0.72825,0.63482,0.70396,0.50303,0.99203,1.14159,1.32878,0.00128753,0.00128753,0.00128753
7,477.907,0.95919,1.16952,1.29815,0.74824,0.66417,0.74928,0.54011,0.98193,1.09395,1.28911,0.00125923,0.00125923,0.00125923
8,545.659,0.93626,1.14421,1.28528,0.73588,0.65557,0.73354,0.55767,0.88287,1.03853,1.22265,0.00123094,0.00123094,0.00123094
9,613.189,0.90744,1.08064,1.2606,0.71268,0.66761,0.72327,0.5349,0.92382,1.0542,1.25653,0.00120265,0.00120265,0.00120265
10,680.997,0.87977,1.03756,1.24016,0.84546,0.70663,0.80312,0.60181,0.88816,0.91399,1.22296,0.00117435,0.00117435,0.00117435
11,748.58,0.86955,0.99199,1.2302,0.87268,0.68468,0.82037,0.63057,0.83855,0.84028,1.18231,0.00114606,0.00114606,0.00114606
12,816.23,0.83671,0.96347,1.20841,0.84048,0.73226,0.82726,0.6329,0.81855,0.81825,1.16822,0.00111776,0.00111776,0.00111776
13,883.727,0.82873,0.93718,1.2055,0.8243,0.70357,0.8056,0.60454,0.87083,0.85419,1.18368,0.00108947,0.00108947,0.00108947
14,951.24,0.79617,0.90327,1.18229,0.81743,0.71377,0.81636,0.64202,0.78973,0.82896,1.1252,0.00106118,0.00106118,0.00106118
15,1018.89,0.7876,0.87948,1.18313,0.83379,0.74631,0.8363,0.63919,0.82043,0.78156,1.15831,0.00103288,0.00103288,0.00103288
16,1086.45,0.78438,0.86572,1.17282,0.81855,0.75264,0.83116,0.65509,0.77566,0.75046,1.12088,0.00100459,0.00100459,0.00100459
17,1154.02,0.77643,0.84766,1.17046,0.82352,0.74981,0.84354,0.66879,0.74864,0.73153,1.10994,0.000976293,0.000976293,0.000976293
18,1221.42,0.75047,0.81134,1.15471,0.84005,0.78468,0.85323,0.68352,0.74519,0.72046,1.09959,0.000947999,0.000947999,0.000947999
19,1289.28,0.74052,0.77492,1.13739,0.82755,0.79238,0.85655,0.67748,0.75173,0.69204,1.12426,0.000919704,0.000919704,0.000919704
20,1356.89,0.72841,0.76824,1.13495,0.8451,0.73233,0.85516,0.68568,0.73488,0.72153,1.09608,0.00089141,0.00089141,0.00089141
21,1424.47,0.71673,0.73819,1.12475,0.85776,0.78774,0.86779,0.69764,0.7061,0.67267,1.06944,0.000863116,0.000863116,0.000863116
22,1492.32,0.71081,0.73665,1.12182,0.85872,0.80277,0.87913,0.70993,0.72469,0.6258,1.07874,0.000834822,0.000834822,0.000834822
23,1559.94,0.69832,0.71015,1.11746,0.88673,0.79294,0.87229,0.7073,0.72032,0.64595,1.06973,0.000806528,0.000806528,0.000806528
24,1627.43,0.69528,0.7012,1.1129,0.9028,0.77811,0.87611,0.71834,0.68857,0.62163,1.05738,0.000778233,0.000778233,0.000778233
25,1694.98,0.6963,0.68966,1.11035,0.89039,0.79875,0.88967,0.71774,0.70641,0.60982,1.06023,0.000749939,0.000749939,0.000749939
26,1762.52,0.67841,0.67137,1.09776,0.89807,0.76861,0.88021,0.71808,0.69855,0.63431,1.05652,0.000721645,0.000721645,0.000721645
27,1829.96,0.6706,0.66557,1.09589,0.88061,0.79293,0.88292,0.72301,0.69136,0.60401,1.0429,0.000693351,0.000693351,0.000693351
28,1897.47,0.65745,0.64002,1.08807,0.88988,0.80687,0.88349,0.71995,0.69369,0.59161,1.06092,0.000665057,0.000665057,0.000665057
29,1965.04,0.6481,0.63416,1.0813,0.88779,0.80379,0.89202,0.73158,0.66592,0.57707,1.0397,0.000636762,0.000636762,0.000636762
30,2032.94,0.64965,0.63138,1.08351,0.89901,0.80057,0.88255,0.72153,0.67921,0.63448,1.06134,0.000608468,0.000608468,0.000608468
31,2100.46,0.63512,0.60192,1.07369,0.90263,0.8006,0.89751,0.74127,0.66263,0.58045,1.03639,0.000580174,0.000580174,0.000580174
32,2168.11,0.62409,0.6032,1.06818,0.91516,0.8037,0.89925,0.75445,0.63019,0.55517,1.01261,0.00055188,0.00055188,0.00055188
33,2235.76,0.60667,0.57548,1.05434,0.89755,0.8221,0.90131,0.75178,0.6368,0.56434,1.01371,0.000523586,0.000523586,0.000523586
34,2302.77,0.59918,0.5606,1.0485,0.90255,0.82152,0.90176,0.75318,0.63275,0.54741,1.00968,0.000495291,0.000495291,0.000495291
35,2369.79,0.5968,0.54829,1.05125,0.91305,0.82354,0.89874,0.74982,0.64264,0.54663,1.02089,0.000466997,0.000466997,0.000466997
36,2436.77,0.59712,0.5509,1.0471,0.8971,0.81537,0.89596,0.75345,0.63017,0.54994,0.99995,0.000438703,0.000438703,0.000438703
37,2505.37,0.58445,0.53215,1.04529,0.91216,0.82947,0.90458,0.7606,0.62805,0.52931,1.00676,0.000410409,0.000410409,0.000410409
38,2574.17,0.57252,0.52063,1.03358,0.94005,0.82301,0.91472,0.77084,0.62636,0.50473,1.0003,0.000382115,0.000382115,0.000382115
39,2648.2,0.56759,0.5078,1.03187,0.89143,0.84949,0.91441,0.76596,0.61815,0.51591,0.99646,0.00035382,0.00035382,0.00035382
40,2718.33,0.56773,0.51593,1.03636,0.90098,0.84336,0.91174,0.76992,0.61968,0.51653,0.99654,0.000325526,0.000325526,0.000325526
41,2784.17,0.49364,0.37494,0.95882,0.87865,0.84774,0.90882,0.76443,0.62056,0.5241,0.9955,0.000297232,0.000297232,0.000297232
42,2850.63,0.48324,0.35305,0.95525,0.93443,0.81086,0.9083,0.7613,0.62394,0.53956,1.00209,0.000268938,0.000268938,0.000268938
43,2916.09,0.47157,0.34098,0.94406,0.9139,0.83449,0.91189,0.76974,0.60546,0.52166,0.98516,0.000240644,0.000240644,0.000240644
44,2981.87,0.45832,0.32614,0.93496,0.9319,0.83957,0.9181,0.77185,0.61043,0.49723,0.9987,0.000212349,0.000212349,0.000212349
45,3048.96,0.44393,0.31605,0.92952,0.88877,0.8451,0.91597,0.77604,0.60332,0.51485,0.98859,0.000184055,0.000184055,0.000184055
46,3117.19,0.43918,0.30601,0.92366,0.91362,0.85572,0.91899,0.77842,0.60239,0.50063,0.99044,0.000155761,0.000155761,0.000155761
47,3186.77,0.42924,0.29594,0.91738,0.91084,0.84815,0.91738,0.78114,0.60018,0.49462,0.98652,0.000127467,0.000127467,0.000127467
48,3257.53,0.42356,0.29049,0.91025,0.91407,0.853,0.91661,0.77889,0.59018,0.49561,0.98011,9.91726e-05,9.91726e-05,9.91726e-05
49,3326.38,0.41086,0.28036,0.90771,0.91641,0.86082,0.91899,0.78314,0.59882,0.48665,0.99151,7.08784e-05,7.08784e-05,7.08784e-05
50,3393.38,0.40616,0.27484,0.90188,0.91132,0.85585,0.91899,0.78666,0.59274,0.4864,0.98064,4.25842e-05,4.25842e-05,4.25842e-05
